"USER_ID","CHANNEL_NUM","START_TIME","DURATION"
"38610681","893601",20210822 12:00:00,900
"32890581","893601",20210822 12:15:00,900
"31651681","893601",20210822 12:15:00,900
"38489681","893601",20210822 12:15:00,900
"38610681","893601",20210822 12:15:00,900
"32890581","893601",20210822 12:30:00,900
"31651681","893601",20210822 12:30:00,900
"38610681","893601",20210822 12:30:00,900
"32890581","893601",20210822 12:45:00,900
"31651681","893601",20210822 12:45:00,900
"38610681","893601",20210822 12:45:00,900
"32890581","893601",20210822 13:00:00,805
"31651681","893601",20210822 13:00:00,695
"38610681","893601",20210822 13:00:00,900
"32890581","893601",20210822 13:15:00,900
"31651681","893601",20210822 13:15:00,900
"38610681","893601",20210822 13:15:00,900
"32890581","893601",20210822 13:30:00,900
"31651681","893601",20210822 13:30:00,900
"38610681","893601",20210822 13:30:00,900
"32890581","893601",20210822 13:45:00,900
"31651681","893601",20210822 13:45:00,900
"38610681","893601",20210822 13:45:00,900
"32890581","893601",20210822 14:00:00,900
"31651681","893601",20210822 14:00:00,900
"38610681","893601",20210822 14:00:00,900
"32890581","893601",20210822 14:15:00,900
"30837681","893601",20210822 14:15:00,900
"31651681","893601",20210822 14:15:00,900
"38610681","893601",20210822 14:15:00,900
"32890581","893601",20210822 14:30:00,900
"30837681","893601",20210822 14:30:00,838
"31651681","893601",20210822 14:30:00,900
"38610681","893601",20210822 14:30:00,900
"30829181","893601",20210822 14:45:00,900
"32890581","893601",20210822 14:45:00,900
"31651681","893601",20210822 14:45:00,900
"38610681","893601",20210822 14:45:00,900
"30829181","893601",20210822 15:00:00,900
"32890581","893601",20210822 15:00:00,900
"31651681","893601",20210822 15:00:00,900
"38610681","893601",20210822 15:00:00,900
"30829181","893601",20210822 15:15:00,738
"32890581","893601",20210822 15:15:00,900
"31651681","893601",20210822 15:15:00,900
"38610681","893601",20210822 15:15:00,900
"32890581","893601",20210822 15:30:00,900
"31651681","893601",20210822 15:30:00,900
"38610681","893601",20210822 15:30:00,900
"32890581","893601",20210822 15:45:00,900
"31651681","893601",20210822 15:45:00,900
"38610681","893601",20210822 15:45:00,900
"32890581","893601",20210822 16:00:00,900
"31651681","893601",20210822 16:00:00,900
"38610681","893601",20210822 16:00:00,900
"32890581","893601",20210822 16:15:00,900
